ISOexample,Rformat
2020-02-08,%Y-%m-%d
2020-W06-5,%Y-W%U-%u
2020-039,%Y-%j
20200208,%Y%m%d
2020W065,%YW%U%u
2020W06,%YW%U
2020039,%Y%j
2020-02-08T09,%Y-%m-%dT%H
2020-02-08 09,%Y-%m-%d %H
2020-02-08 09:30,%Y-%m-%d %H:%M
2020-02-08 09:30:26,%Y-%m-%d %H:%M:%S
2020-02-08 09:30:26.123,%Y-%m-%d %H:%M:%S.%s
"20200208T080910,123","%Y%m%dT%H%M%S,%s"
20200208T080910.123,%Y%m%dT%H%M%S.%s
20200208T080910,%Y%m%dT%H%M%S
20200208T0809,%Y%m%dT%H%M
20200208T08,%Y%m%dT%H
2020-W06-5 09,%Y-W%W-%U %H
2020-039 09,%Y-%j %H
2020-02-08 09+07:00,
2020-02-08 09-0100,%Y-%m-%d %H%z
2020-02-08 09Z,%Y-%m-%d %HZ
9,%H
09Z,%HZ
09+07:00,
09-0100,%H%z
09:30,%H:M
09:30:26,%H:M:%S
09:30:26.123,%H%M%S.%s
"080910,123",%H%M%S.%s
080910.123,"%H%M%S,%s"
