value,definition,RDatatype,maxLength,maxPrecision,minValue_unsigned,maxValue_unsigned,distinctValue,distinctLength
character,Fixed length character strings,is.character,255,,,,,1
character varying,Variable length character strings,is.character,65535,,,,,
character large object,Character large object; large objects are designed to hold extremely large column values,is.character,2147483647,,,,,
national character,Fixed length national character strings (2 byte unicode); UTF-8 or UTF-16 encoded characters as defined by the Unicode Standard,is.character,255,,,,,1
national character varying,Variable length national character strings (2 byte unicode); UTF-8 or UTF-16 encoded characters as defined by the Unicode Standard,is.character,65535,,,,,
national character large object,National character (2 byte unicode) large object; UTF-8 or UTF-16 encoded characters as defined by the Unicode Standard,is.character,2147483647,,,,,
text,Variable string to maximum of 65k characters,is.character,65535,,,,,
tinytext,Variable string to maximum of 255 characters,is.character,255,,,,,
mediumtext,Variable string to maximum of 16m characters,is.character,16777215,,,,,
longtext,Variable string to maximum of 4g characters,is.character,4294967295,,,,,
binary,Fixed length binary,is.integer,255 ,,,,,1
binary varying,Variable length binary,is.integer,32704,,,,,
binary large object,Binary large object to maximum of 65k bytes; large objects are designed to hold extremely large column values,is.integer,2147483647,,,,,
mediumblob,Binary large object to maximum of 16m bytes; large objects are designed to hold extremely large column values,is.integer,16777215,,,,,
longblob,Binary large object to maximum of 4g bytes; large objects are designed to hold extremely large column values,is.integer,4294967295,,,,,
integer,Integers number (+-2b),is.integer,,,-2147483648,2147483648,,
tinyint,Integer numbers (+-128),is.integer,,,-128,127,,
mediumint,Integer numbers (+-16k),is.integer,,,-8388608,8388608,,
smallint,Integer numbers (+-32k),is.integer,,,-32767,32767,,
bigint,Integer numbers (+-1e27),is.integer,,,-9.22E+18,-9.22E+18,,
float,Floating point numbers,is.numeric,,24,-1.79E+308,1.79E+308,,
real,Low precision floating point numbers,is.numeric,,,-3.40E+38,3.40E+38,,
double precision,High precision floating point numbers,is.double,,53,-1.79E+308,1.79E+308,,
numeric,Fixed precision and scale decimal numbers,is.numeric,,38,-1.00E+38,1.00E+38,,
decimal,Fixed precision and scale decimal numbers (numeric alternate),is.decimal,,38,-1.00E+38,1.00E+38,,
bit,Fixed length bit strings,is.integer,,,-9.22E+18,-9.22E+18,,1
bit varying,Variable length bit strings,is.integer,,,-9.22E+18,-9.22E+18,,
date,Calendar date,,,,,,,
time,Clock time,,,,,,,
datetime,Date and time,,,,,,,
timestamp,Number of seconds since the unix epoch (1970-01-01t00:00:00 utc),is.numeric,,,,,,
year,Year,is.integer,,,1,9999,,
interval,"Time intervals (i.e., length of time in year, month, day, hour, minute, or second)",is.numeric,,,,,,
interval day,Day intervals,is.numeric,,,,,,
interval year,Year intervals,is.numeric,,,,,,
currency,Monetary value,is.numeric,19,4,-3.96E+28,3.96E+28,,
money,Monetary value,is.numeric,,,-9.22E+14,9.22E+14,,
boolean,Boolean value (yes/no),,,,,,2,
xml,Extensible Markup Language (XML) formatted data,,,,,,,
enum,"List of possible values: enum('a','b','c')",,,,,,65535,
