SpeciesCode,BandNumberIn,BandNumberOut,Year,Month,Day,LocCountry,LocStateProvince,LocCity,LocArea,PlotName,PlotID,Latitude_dec,Longitude_dec,Easting,Northing,Hem,Zone,BanderID,ScribeID,CaptureTime,BandDisposition,BirdStatus,ULIn,LLIn,URIn,LRIn,FlagColorIn,FlagCodeIn,ULOut,LLOut,UROut,LROut,FlagColorOut,FlagCodeOut,NestID,BroodID,NestMate,NestAdult1,NestAdult2,BandSize,CaptureMethod,Age,Sex,HowAged,HowSexed,Mass_g,FatScore,TotalHead_mm,NaresTip_mm,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,Tarsus_mm,Wing_mm,Tail_mm,P10_mm,P10Exposed_mm,BroodPatch,BodyMolt,FlightFeatherMolt,RectWear,AISwabO,AISwabC,Fecal,Nails,Blood,BloodFilter,BloodGenetics,BloodHg,Feather,Downy,FeatherType1,FeatherType2,BirdDisposition,TagType1,TagStatus1,TagID1,PlatformID1,TagMass1_g,TagAttachment1,TagManufacturer1,TagModel1,TagType2,TagStatus2,TagID2,PlatformID2,TagMass2_g,TagAttachment2,TagManufacturer2,TagModel2,RadioFrequency_mHz,Photos,EstHatchDate,ChickAge_d,ChickAgeType,Notes
BLPW,,272077822,2017,6,6,USA,Alaska,Anchorage,JBER,,DENA,61.25895,-149.84064,,,,,,,6:45,1,319,,,,,,,,Dg-Db-R,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12,0,,,10.9,,,19.8,75,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077823,2017,6,6,USA,Alaska,Anchorage,JBER,,DENA,61.26225,-149.83742,,,,,,,7:40,1,319,,,,,,,,Dg-Dg-R,,Y-A,,,,,,,,,MN,AHY,F,PL,PL,12.5,0,,,9.9,,,20.2,74,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077824,2017,6,6,USA,Alaska,Anchorage,JBER,,DENA,61.26113,-149.83466,,,,,,,8:30,1,319,,,,,,,,Dg-R-R,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.5,0,,,9.1,,,20.1,77,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077825,2017,6,8,USA,Alaska,Anchorage,JBER,,USLA,61.28272,-149.774,,,,,,,7:00,1,319,,,,,,,,Dg-Y-Y,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.4,0,,,9.7,,,20.2,75,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077826,2017,6,8,USA,Alaska,Anchorage,JBER,,LSLA,61.28275,-149.77583,,,,,,,7:50,1,319,,,,,,,,Dg-Y-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.1,0,,,10.2,,,19.7,73,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077827,2017,6,8,USA,Alaska,Anchorage,JBER,,DENA,61.2541,-149.85381,,,,,,,9:45,1,319,,,,,,,,Dg-Y-Db,,Y-A,,,,,,,,,MN,AHY,U,PL,PL,12.1,0,,,9.6,,,19.4,76,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077828,2017,6,8,USA,Alaska,Anchorage,JBER,,DENA,61.25403,-149.85391,,,,,,,13:12,1,319,,,,,,,,Dg-Y-R,,Y-A,,,,,,,,,MN,AHY,F,PL,PL,11.5,0,,,9.7,,,18.6,71,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077829,2017,6,9,USA,Alaska,Anchorage,JBER,,DENA,61.25103,-149.8698,,,,,,,7:15,1,319,,,,,,,,Dg-Dg-Y,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12,0,,,,,,,74,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077830,2017,6,9,USA,Alaska,Anchorage,,,FAIC,61.26829,-149.83638,,,,,,,8:18,1,319,,,,,,,,Dg-Dg-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,9.9,0,,,,,,,74,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077831,2017,6,9,USA,Alaska,Anchorage,,,FAIC,61.26971,-149.83453,,,,,,,8:50,1,319,,,,,,,,Dg-Dg-Db,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.2,0,,,,,,,74,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077837,2017,6,1,USA,Alaska,Anchorage,JBER,,FTLA,61.27655,-149.80095,,,,,,,12:20,1,319,,,,,,,,Y-Y-Y,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,13.8,0,,,,,,19.8,75,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077838,2017,6,1,USA,Alaska,Anchorage,JBER,,FTLA,61.27655,-149.80095,,,,,,,12:20,1,319,,,,,,,,Y-Y-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.8,0,,,,,,19.9,74,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077839,2017,6,5,USA,Alaska,Anchorage,JBER,,DENA,61.2621,-149.82497,,,,,,,8:45,1,319,,,,,,,,Y-Y-Db,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,13,0,,,,,,19.9,75,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077840,2017,6,5,USA,Alaska,Anchorage,JBER,,FTLA,61.27527,-149.80775,,,,,,,10:45,1,319,,,,,,,,Y-Y-R,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.9,0,,,,,,19.2,77,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077841,2017,6,8,USA,Alaska,Anchorage,JBER,,AMCO,61.29546,-149.82608,,,,,,,7:00,1,319,,,,,,,,Y-Dg-Y,,Y-A,,,MULL_01,,,,,,MN,AHY,M,PL,PL,12.6,0,,,,,,19.7,77,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077842,2017,6,8,USA,Alaska,Anchorage,JBER,,DENA,61.25298,-149.8566,,,,,,,9:43,1,319,,,,,,,,Y-Dg-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,11.7,0,,,,,,19.4,72,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077843,2017,6,8,USA,Alaska,Anchorage,JBER,,DENA,61.25279,-149.85794,,,,,,,10:00,1,319,,,,,,,,Y-Dg-Db,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.5,0,,,,,,19.4,76,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077844,2017,6,9,USA,Alaska,Anchorage,JBER,,SPLA,61.28195,-149.811,,,,,,,8:30,1,319,,,,,,,,Y-Dg-R,,Y-A,,,,,,,,,MN,AHY,F,PL,PL,12.6,0,,,,,,19.2,76,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,272077845,2017,6,13,USA,Alaska,Anchorage,JBER,,DENA,61.25245,-149.86943,,,,,,,10:30,1,319,,,,,,,,Y-Db-Y,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,11.9,0,,,,,,18.9,73,,,,,0,,,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058311,2018,6,1,USA,Alaska,Anchorage,JBER,,DENA,61.25245,-149.86559,,,,,,,10:05,1,319,,,,,,,,Db-Y-Y,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12,0,32.2,,8.5,,,19,78,,,,,0,,2,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
