"Num","Variable","Category","Message"
1,"LocCountry","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
2,"LocStateProvince","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
3,"LocCity","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
4,"LocArea","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
5,"AISwabO","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
6,"AISwabC","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
7,"FeatherType1","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
8,"FeatherType2","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
9,"BirdDisposition","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
10,"TagManufacturer1","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
11,"TagModel1","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
12,"TagManufacturer2","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
13,"TagModel2","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
14,"EstHatchDate","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
15,"ChickAge_d","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
16,"ChickAgeType","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
17,"SpeciesCode","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: BLPW, SPSA, UPSA, REKN, GRYE, LEYE, SBDO, SEOW, SOSA, Aircraft noise is pervasive across the USA, including in national parks, but its effects on wildlife remain unresolved. As with other noise sources, aircraft noise may affect species physiology and behaviour by being perceived as a threat, distracting individuals, or degrading the sensory environment. This study aimed to understand the effect of aircraft traffic and associated noise on the richness of bird vocalization activity in a remote national park in the USA. We used a continent-wide acoustic dataset encompassing over 30:00 h of annotated recordings to identify two geographically similar sites with high rates of bird vocalizations and both high and low rates of aircraft noise. We selected sites in Denali National Park, both of which experience little human presence, and quantified the richness of bird vocalizations before, during and after aircraft events. We present evidence of a community-level behavioural response to aircraft noise, with increased bird vocalization richness after aircraft events at a site with relatively lower aircraft noise. At the site with low rates of aircraft noise, we found bird vocalization richness did not significantly change during an aircraft event but did increase after an aircraft event. At the site with high rates of aircraft noise, bird vocalization richness did not significantly change during or after an aircraft event. This study provides new insights into wildlife responses to aircraft traffic and associated noise and highlights the importance of noise research in the management of relatively quiet and undisturbed landscapes. "
18,"ULIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Geo-Dg, Yl-Db, Bk-Bk, K-Yl, Dg-R, Rd-Yl, Rd-Rd, Rd-Db, Rd-Dg, Geo-GYl"
19,"LLIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: A"
20,"URIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: NULL, Geo-Db, Geo-Dg, O, A, Geo-O, Geo-Yl, Geo-Rd, Yl-Db, flag"
21,"LRIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: A"
